names,scores,logfoldchanges,pvals,pvals_adj
SLC1A2,81.74116,19.685926,0.0,0.0
ADGRV1,81.603294,19.497814,0.0,0.0
SPARCL1,78.99239,15.282939,0.0,0.0
SLC4A4,78.70697,17.088573,0.0,0.0
LINC00299,78.43718,16.75861,0.0,0.0
ATP1A2,78.113625,16.10968,0.0,0.0
PRKG1,74.781815,14.941374,0.0,0.0
PPP1R9A-AS1,74.64284,17.808636,0.0,0.0
AC073050.1,72.91324,15.20717,0.0,0.0
RFX4,72.87012,15.604043,0.0,0.0
CLU,71.93895,12.410942,0.0,0.0
COL5A3,71.48469,15.134066,0.0,0.0
TRPM3,69.801125,12.878076,0.0,0.0
NTRK3,69.46627,13.089875,0.0,0.0
AC114971.1,69.26342,15.640243,0.0,0.0
AQP4,68.948944,13.31301,0.0,0.0
TENM2,68.8005,13.113169,0.0,0.0
AL137139.2,68.55592,14.537064,0.0,0.0
LINC00499,67.53122,16.568596,0.0,0.0
PTPRG,67.362175,12.124201,0.0,0.0
PDZRN3,65.31368,13.2373705,0.0,0.0
SLC7A11,65.29822,14.117429,0.0,0.0
FLRT2,63.358852,12.865202,0.0,0.0
DPP10,63.16406,13.288842,0.0,0.0
FAM189A2,61.18853,13.859149,0.0,0.0
DNAH7,59.14725,12.617143,0.0,0.0
TMEM108,59.067696,11.050127,0.0,0.0
EFEMP1,57.44554,12.471432,0.0,0.0
EFNA5,56.160347,11.701232,0.0,0.0
SLC14A1,53.640335,12.07769,0.0,0.0
INPP4B,53.63922,9.281659,0.0,0.0
AC004470.2,53.428448,11.653579,0.0,0.0
MT2A,53.25541,9.710368,0.0,0.0
EPHA6,52.72743,10.358038,0.0,0.0
ID4,51.16071,11.290505,0.0,0.0
RGMA,50.1894,11.9535475,0.0,0.0
TIMP3,49.67008,10.721031,0.0,0.0
AGBL4,49.62224,8.623383,0.0,0.0
VAV3,49.082306,10.7900915,0.0,0.0
TMEM232,48.66699,8.4946375,0.0,0.0
ADCY8,48.641224,10.557168,0.0,0.0
HPSE2,47.275043,11.499583,0.0,0.0
IGFBP7,47.087112,9.692508,0.0,0.0
PDGFRB,47.00757,11.954901,0.0,0.0
WIF1,46.946056,12.915605,0.0,0.0
LCNL1,45.853523,10.480325,0.0,0.0
AQP4-AS1,45.693195,10.167091,0.0,0.0
AC097518.2,45.618153,12.064522,0.0,0.0
AC091078.1,45.326897,10.729684,0.0,0.0
NR2F1,43.35317,9.898944,0.0,0.0
RMST,41.737843,9.136092,0.0,0.0
SLC6A11,41.71555,11.199624,0.0,0.0
SLC30A10,41.393734,10.6235,0.0,0.0
RERG,40.834652,9.978968,0.0,0.0
PDE3A,40.367428,7.9751706,0.0,0.0
ALDH1A1,40.11499,10.505403,0.0,0.0
ZNF98,40.005062,12.195337,0.0,0.0
CST3,39.142223,5.9730344,0.0,0.0
CRIM1,39.12983,7.176938,0.0,0.0
CACNA1C,38.80537,7.097629,0.0,0.0
UNC5D,37.99919,8.061856,0.0,0.0
GFAP,37.643982,7.2240615,4.10426022256915e-310,6.0954359741126e-309
AF279873.3,37.607567,10.552992,1.617043412635636e-309,2.3897193290181813e-308
MIR4300HG,37.387173,9.687764,6.314713130806659e-306,9.241043606058526e-305
DPYSL3,37.271572,9.605334,4.740054571332531e-304,6.86964430627903e-303
TGFBR3,36.555084,9.439246,1.4805256124179605e-292,2.1251563814611872e-291
TMTC1,35.661472,8.37871,1.5648021455523333e-278,2.1733363132671297e-277
CGNL1,35.633526,6.683904,4.240480631831091e-278,5.835523805272143e-277
LNC-LBCS,35.206215,9.329984,1.6063868580204734e-271,2.151410970563134e-270
SNTB1,33.609592,8.257865,1.2148678427610997e-247,1.550895118418425e-246
MT1E,33.46444,7.368852,1.5870108070984266e-245,2.0173866191929152e-244
KCNMB2-AS1,33.416027,5.6259274,8.022148171410141e-245,1.0111951476567405e-243
CACNA2D3,31.664553,6.6283183,4.781764456416876e-220,5.78439248760106e-219
AC079385.1,30.51404,8.515287,1.6972272533969678e-204,2.0125224348580647e-203
HES4,30.448336,7.176687,1.2602691288420162e-203,1.4885068450889955e-202
CADPS,30.365871,5.84965,1.5510218564678128e-202,1.817603738048218e-201
ITGA6,30.359594,5.0430813,1.8770767981768573e-202,2.1911402313348526e-201
VEGFA,30.297968,6.9309335,1.219231513856877e-201,1.417711062624276e-200
LRRTM4,30.02336,5.5847077,4.8643485170247856e-198,5.591205191982513e-197
WDR49,29.775759,8.974772,8.049246557543767e-195,9.112354593445774e-194
NWD1,29.608192,8.964388,1.1721593503950422e-192,1.3121186758153458e-191
BICC1,28.755093,6.459828,7.822345257498083e-182,8.627586681064061e-181
WWTR1,27.988203,6.118241,2.2614642034798277e-172,2.4143745944624496e-171
MAOB,27.836258,8.071942,1.580026882123351e-170,1.6808796618333523e-169
EPHA4,27.830057,6.7435293,1.878059214619224e-170,1.9908754925292126e-169
PPM1L,27.46563,4.5830927,4.520636990291545e-166,4.708996864887026e-165
UNC80,26.654339,5.7380548,1.5940084352683135e-156,1.6155490897989664e-155
GINS3,26.23206,7.1023,1.1452828895639898e-151,1.1529693519100569e-150
CRPPA,25.911901,6.4569006,4.890434138368121e-148,4.8580471573193255e-147
VIM,24.80559,6.0352077,7.802497183496279e-136,7.575239983976971e-135
COLEC12,24.752857,7.7633543,2.888299539665948e-135,2.786141035047538e-134
LINC01727,24.607098,11.119577,1.0604570255759932e-133,1.0196702168999934e-132
HES5,24.398,8.457468,1.7958446373755294e-131,1.710328226071933e-130
AKAP12,24.20462,6.25268,1.9890191288565536e-129,1.8823524878768645e-128
GPC6,24.193121,5.9810557,2.628314646354973e-129,2.479542119202805e-128
TRMT9B,23.868303,6.9634304,6.538369545509797e-126,6.035418042009043e-125
PID1,23.614754,4.145178,2.718899282799889e-123,2.4867981245120934e-122
ID2,23.61262,4.0388274,2.859695914779632e-123,2.607625454206352e-122
AL138828.1,23.427391,7.372812,2.2478286629410874e-121,2.0311704785612235e-120
APOE,22.736267,4.278106,1.962307012054315e-114,1.7520598321913527e-113
DDIT4,22.41077,4.533832,3.090403734584826e-111,2.7348705615794917e-110
PDK4,22.40865,4.516561,3.2412280619794752e-111,2.859907113511302e-110
PPP1R3C,22.20541,8.345591,3.0449827546916394e-109,2.6632502227623668e-108
GRIA1,22.194868,5.488228,3.8497076579037606e-109,3.3573031900323493e-108
HRH1,21.993547,4.9458995,3.319996316514733e-107,2.8703138183124493e-106
ANGPTL4,21.581705,8.336093,2.6684895048907594e-103,2.2678381061394554e-102
ADAMTS9-AS2,21.527538,6.9154396,8.598269570287642e-103,7.266143298834627e-102
VCAN,21.38401,5.89023,1.882374597018734e-101,1.5862707278247756e-100
AC012405.1,21.357687,7.175429,3.307949249528865e-101,2.7720245107783784e-100
HES1,21.213179,7.8678403,7.216700741381408e-100,5.997258233834965e-99
SNED1,20.760223,5.056402,9.910606933241105e-96,8.123448305935332e-95
SYNPO2,20.61759,6.907942,1.9082702700648362e-94,1.555655111465899e-93
PLPP1,20.517786,3.718075,1.493607331177515e-93,1.2110329712250121e-92
ANGPT1,20.511051,7.521458,1.7154644190457097e-93,1.3871679938375013e-92
DCLK1,20.26635,5.098657,2.548703765033877e-91,2.0554062621240946e-90
NR2F2-AS1,20.166668,7.196563,1.921590919400034e-90,1.5413830904278348e-89
FBLN1,20.108706,7.4596677,6.19182413873969e-90,4.9271810122597004e-89
SHANK2,19.609695,5.8758698,1.2779725262525744e-85,1.0062775797264365e-84
LAMC1,19.553596,6.51354,3.8444426519873394e-85,3.0113127822355135e-84
PDE8B,19.372345,5.6782684,1.321032419278986e-83,1.0267091341546523e-82
SLC6A1-AS1,19.349714,9.068797,2.0497711973740466e-83,1.5889699204449974e-82
SHISA6,19.142992,5.859179,1.1072358200134248e-81,8.53909372760996e-81
TOGARAM2,19.056152,7.3786206,5.841671738799476e-81,4.470667147040416e-80
ADAMTS9,18.92644,7.03103,6.907729869097378e-80,5.259692793728968e-79
NRP1,18.690397,3.1480458,5.927049749727004e-78,4.478878904075822e-77
ESYT2,18.473972,3.0464923,3.345364974907125e-76,2.496541026050093e-75
MT1M,18.314777,5.912783,6.308536623891993e-75,4.684556898929698e-74
AC007402.1,18.110327,5.1998506,2.6417217875757632e-73,1.9568309537598246e-72
EPAS1,17.895876,6.105833,1.2698571053292192e-71,9.383180581250387e-71
TENM3,17.748,4.190547,1.786059199681489e-70,1.3132788232952125e-69
RBPMS,17.710857,7.20198,3.4576410240875887e-70,2.5361670103331944e-69
DPP10-AS3,17.455671,8.906204,3.116884096853669e-68,2.2531692266412062e-67
ST6GALNAC5,17.238092,5.038587,1.3749754570794437e-66,9.891909763161465e-66
ACKR3,17.02265,8.080234,5.57886576655318e-65,3.975438788517705e-64
KCNE4,16.93211,9.602485,2.608579295788215e-64,1.8544402576693472e-63
PAM,16.817791,3.5828385,1.8077495862841844e-63,1.2790681035029606e-62
P2RY14,16.534126,3.8694787,2.08376492623057e-61,1.4674400888947676e-60
FLNA,16.36792,6.154743,3.2410037856855565e-60,2.2717316254805305e-59
BMPER,16.248652,5.1398644,2.283294894636454e-59,1.5856214546086487e-58
RBFOX1,16.104433,2.758634,2.374664144756262e-58,1.6376994101767324e-57
CFAP54,15.3744135,5.9482756,2.4303541844720846e-53,1.6421312057243815e-52
TOB1,15.236778,3.68837,2.015659370618936e-52,1.3497718999680375e-51
TNC,14.970691,4.7274227,1.1412945665546495e-50,7.574963937309621e-50
BHLHE40,14.91422,3.5938542,2.663731941335261e-50,1.7640608883014973e-49
MT1G,14.670163,6.7946796,1.0010426754114673e-48,6.571396118674841e-48
FRMPD4,14.569071,3.9791362,4.4186242187919047e-48,2.887989685484905e-47
ARHGAP29,14.539244,6.366302,6.834400369625634e-48,4.457217632364545e-47
KCNMA1,14.49508,3.15562,1.3015153994296786e-47,8.469731449650837e-47
HERC2P2,14.364403,2.5041382,8.654960520241878e-47,5.583845496930244e-46
AC002069.2,14.280935,7.4563127,2.8771444931667882e-46,1.8522389440987907e-45
CFAP44,14.206503,2.8498843,8.34921175748932e-46,5.3520588189034106e-45
CCSER1,14.081985,2.9812388,4.901286630907696e-45,3.1284808282389547e-44
NHS,14.000968,4.4824204,1.5376106567432472e-44,9.793698450593931e-44
TFRC,13.811346,2.973878,2.1772510951663298e-43,1.3809203563422809e-42
VWA3A,13.807155,5.4801517,2.3076886771718873e-43,1.4605624539062578e-42
DAB1,13.628211,2.6230464,2.721693909112673e-42,1.718964574176425e-41
HYDIN,13.596954,6.2484803,4.17457423473328e-42,2.631034181554588e-41
ABI3BP,13.54981,5.644369,7.943531624120548e-42,4.995931839069527e-41
SNHG22,13.511345,2.9873402,1.3405053659486646e-41,8.39564947358245e-41
AC073941.1,13.49065,6.530967,1.7752890738984998e-41,1.1095556711865624e-40
CFAP221,13.489459,6.4612546,1.8041916147253398e-41,1.1252754353796298e-40
EFNB2,13.467144,3.440293,2.441261782280142e-41,1.5194575408382623e-40
LYVE1,13.458053,2.7258139,2.7609757717117393e-41,1.7148917836718877e-40
BAG3,13.433316,3.521381,3.8574399426729973e-41,2.386045325364741e-40
FN1,13.307888,4.75045,2.082871732170056e-40,1.2804539337111e-39
PLEKHA5,13.137222,2.2591083,2.0148701373719753e-39,1.2236053465821713e-38
KCTD16,13.046138,3.6350412,6.685184796938235e-39,4.051627149659536e-38
COL4A2,12.819856,5.78381,1.2693678247686412e-37,7.631469888388624e-37
DIRC3,12.7773485,3.75462,2.1942385600356977e-37,1.3165431360214186e-36
ADARB2,12.678779,3.2253816,7.75304407354441e-37,4.6240819524121735e-36
AFF3,12.649721,2.47709,1.1227281646745907e-36,6.669672265393607e-36
AL807742.1,12.634619,6.858819,1.3605142084623779e-36,8.06628977349236e-36
RALYL,12.567161,2.8016856,3.200118531246369e-36,1.8898337782950997e-35
ANTXR2,12.1979475,6.1391363,3.1875913957793718e-34,1.8713843810837798e-33
LMNTD1,12.152864,7.032409,5.539056334737233e-34,3.239214230840487e-33
HSPB8,12.008406,5.067003,3.209734918719045e-33,1.873386139330182e-32
PDZRN4,11.689095,4.444698,1.4492339000751323e-31,8.32893046020191e-31
TNR,11.642497,3.5846813,2.5057090108060085e-31,1.4291116031212976e-30
TUSC3,11.585762,4.3026266,4.866175356296547e-31,2.764872361532129e-30
HIF1A,11.570507,2.1966944,5.813837550468392e-31,3.297072334859201e-30
COL21A1,11.55634,5.397751,6.856934196715998e-31,3.8812835075750934e-30
HMGCS1,11.555012,2.3829079,6.963789172114646e-31,3.934344165036523e-30
LAMA3,11.446188,7.150641,2.457148676081174e-30,1.3830105118655764e-29
AQP1,11.270773,6.208357,1.829575677685958e-29,1.0240162375107974e-28
RGS6,11.091716,2.6685328,1.3762192810733713e-28,7.674085210446308e-28
COL5A2,11.042575,3.9163306,2.3810964198582637e-28,1.3203861847642866e-27
AL078602.1,11.023221,5.5352397,2.9529991653519744e-28,1.634501383036148e-27
LINC01088,10.926879,3.1117291,8.574723800692125e-28,4.7374164644707874e-27
GRM7,10.902061,2.7898622,1.1267541499849965e-27,6.2137177388878476e-27
CFAP47,10.781967,5.53828,4.188335210641267e-27,2.3012830827699269e-26
SYT1,10.634374,1.8393483,2.0620951840247203e-26,1.1288842248310513e-25
OPCML,10.571071,2.2424626,4.0583600505710267e-26,2.2176830877437305e-25
DACH1,10.501138,4.4314046,8.53455159422568e-26,4.638343257731348e-25
KCNMB2,10.321202,2.2794302,5.651109944258359e-25,3.043685786853694e-24
AGBL1,10.273106,4.643426,9.315612409423928e-25,4.999434208993164e-24
NRARP,10.217028,4.930083,1.663639342115074e-24,8.91235361847361e-24
TTN,10.163432,2.9883702,2.887306839292926e-24,1.5412669960638396e-23
AC008067.1,10.044184,8.777469,9.745110501439168e-24,5.1835694156591316e-23
